rule,ra,rb,rb_max
0,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
1,0.0010367118348757226,"[0.00133239 0.00190439 0.00165232 0.0010648  0.0010302  0.00112286
 0.00069609]",0.0019043896660084878
2,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
3,0.0008334399931742012,"[0.00330456 0.00277273 0.00092303 0.00245125 0.00339585 0.00323085
 0.00219592]",0.0033958483055469024
4,0.023025176007117298,"[0.01642685 0.03527668 0.02085475 0.02436495 0.0421072  0.05094348
 0.03638419]",0.05094347941825429
5,0.010837911120705783,"[0.01240839 0.00992032 0.00890871 0.01038925 0.00854493 0.00992032
 0.00629941]",0.012408394495995696
6,0.001270801521850109,"[0.01308478 0.00278638 0.00119781 0.00138064 0.00125998 0.00095198
 0.00080432]",0.0130847786887411
7,0.0009495746750477788,"[0.00162429 0.00134658 0.00109626 0.00095751 0.00079414 0.00074866
 0.00092877]",0.0016242883667663983
8,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
9,0.0006675208813094082,"[0.00272185 0.00169805 0.00178587 0.00116492 0.00159501 0.00151632
 0.00084504]",0.002721846070545879
10,0.0,"[1.25988158e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",1.2598815766974244e-06
11,0.0010627009613872363,"[0.00164898 0.00439708 0.00291228 0.00210242 0.00181328 0.0014334
 0.00218109]",0.0043970782146098755
12,0.03870933606266968,"[0.03842122 0.02070197 0.04498677 0.03335713 0.01868706 0.01741191
 0.03204659]",0.044986770542121794
13,0.00908513525159001,"[0.0054917  0.00519462 0.00776643 0.00454257 0.01147807 0.00908514
 0.009759  ]",0.011478067422089537
14,0.0002777917456805594,"[0.00098279 0.00076665 0.00076112 0.00033215 0.0004702  0.00038037
 0.00056389]",0.000982786773043812
15,0.00020369990376443932,"[0.00114423 0.00064742 0.00062017 0.00036793 0.0004441  0.00022366
 0.00036651]",0.0011442319112254756
16,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
17,0.002070739458445202,"[0.00372871 0.00253196 0.00238094 0.00255579 0.00261109 0.00193356
 0.00189238]",0.0037287103604840143
18,0.0,"[0.00072775 0.         0.         0.         0.         0.
 0.        ]",0.0007277471216129081
19,0.0011107240595701006,"[0.00264222 0.00208874 0.00259048 0.00150678 0.0008803  0.00130642
 0.00154673]",0.002642222188847503
20,0.0005469235749402178,"[0.00816568 0.0024126  0.00131165 0.00196865 0.00155139 0.00155677
 0.001196  ]",0.008165675936018005
21,0.0011891560299187335,"[0.00238644 0.0017007  0.00155478 0.00092671 0.00063606 0.00136564
 0.00088387]",0.002386441529684579
22,0.00015196595274485014,"[4.73730551e-04 3.04625714e-04 3.09536263e-04 2.40650573e-04
 1.33832399e-04 1.78013732e-04 9.77119187e-05]",0.00047373055096820433
23,0.00011489816056658823,"[0.00044704 0.0003291  0.00014107 0.00031441 0.00021252 0.00015682
 0.00011146]",0.0004470360945620357
24,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
25,0.0018106580405152664,"[0.00394354 0.00270033 0.00228494 0.00191801 0.00253826 0.00194686
 0.00234019]",0.003943541636006979
26,0.0,"[0.02364945 0.00835879 0.00178273 0.00276922 0.00014489 0.
 0.        ]",0.023649454774076952
27,0.002191884381726632,"[0.00321106 0.00262959 0.00336937 0.00224991 0.00179287 0.00244287
 0.00122787]",0.0033693659617392412
28,0.00048293086691803563,"[0.00176729 0.00170239 0.00098568 0.00121467 0.00105228 0.00070701
 0.0005533 ]",0.001767286054944159
29,0.0005996983368645353,"[0.00138591 0.00152515 0.00077473 0.00147996 0.00118661 0.00051625
 0.00061577]",0.0015251453222458074
30,0.000727776566096192,"[0.00307737 0.00144371 0.00139163 0.00113221 0.0005484  0.00107513
 0.00086555]",0.003077368490349641
31,0.0009038655961330296,"[0.00184288 0.00174426 0.00110159 0.00173928 0.00091109 0.00116559
 0.00086311]",0.001842882059632187
32,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
33,0.0026455029227513225,"[0.00215881 0.00244037 0.00299848 0.00203388 0.00290651 0.00242229
 0.00120454]",0.0029984826850756345
34,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
35,0.0019631117992890915,"[0.00565593 0.00326001 0.00345628 0.00378278 0.00322555 0.00361586
 0.0017126 ]",0.005655930305356298
36,0.013451854182690981,"[0.01976047 0.02407    0.02588129 0.02074027 0.01506599 0.01247219
 0.019518  ]",0.025881291888954685
37,0.005453697013138071,"[0.00796412 0.00736746 0.00463813 0.00710598 0.00726836 0.0035023
 0.00523295]",0.007964115750197256
38,0.011046309805426428,"[0.01377627 0.02345253 0.01949654 0.01537001 0.01151583 0.01109973
 0.01232432]",0.023452531490935766
39,0.0018268009161650234,"[0.00355317 0.0049205  0.00370318 0.00370472 0.00208749 0.00237646
 0.00200399]",0.004920495684154025
40,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
